browser_session_id	Referrer	LandingPage	SEARCH_TERM_FLAG	EXTERNAL_SEARCH_FLAG	INTERNAL_SEARCH_FLAG	Browser	OS	DayOfWeek	TimeofDay	TOS	NOP	Logged_in_status	ISP	QFF	CIS	SMARTPHONE	BRANDS	DEALS	PREPAID	RECHARGE	SIMCARD	NETWORK	BROADBAND	BUNDLE	HOMEPHONE	FIXEDLINE	PURCHASE_FLAG	geo_variable_region	device_details
1111609368834751-1364888351730	OTHER	HOME	0	0	0	MSIE	Windows	1	18	14006	6	0	Optus Internet Pty Ltd	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	0	undefined	U
1111965896561741-1365258122283	OTHER	PRODUCT	0	1	0	Safari	Mac	6	1	418	6	0	Telstra Internet	OTHER	OTHER	SMARTPHONE	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	0	Western Australia	M
1112795781384394-1365024885039	OTHER	HOME	0	0	0	MSIE	Windows	3	8	305	5	1	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	0	New South Wales	U
1113156955976047-1364880095358	OTHER	HOME	0	0	0	MSIE	Windows	1	16	994	2	0	Optus	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	0	Western Australia	U
1114408040884882-1345686939740	Google	HOME	0	0	0	Chrome	Mac	2	20	1258847	15	1	Optus	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	0	New South Wales	U
1114699563477188-1365205055066	OTHER	HOME	0	0	0	Chrome	Windows	5	10	196	7	1	TPG Internet Pty Ltd.	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	0	New South Wales	U
1114718817145034-1364971211780	OTHER	HOME	0	0	0	Firefox	Windows	2	17	30	3	0	Optus	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	BROADBAND	OTHER	OTHER	OTHER	0	New South Wales	U
1115584881044924-1364719836242	OTHER	HOME	0	0	0	Safari	Mac	0	14	194567	25	1	TPG Internet Pty Ltd.	OTHER	OTHER	OTHER	OTHER	OTHER	PREPAID	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	0	New South Wales	U
1116199092939496-1365249690676	OTHER	HOME	0	0	0	Chrome	Windows	5	23	274	5	1	Optus Internet Pty Ltd	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	0	undefined	U
1116297012946941-1365286789331	OTHER	PRODUCT	0	0	0	MSIE	Windows	6	9	379	2	0	Telstra Internet	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	NETWORK	OTHER	OTHER	OTHER	OTHER	0	New South Wales	D
1116490112617611-1364869314240	OTHER	HOME	0	0	0	Chrome	Windows	1	13	22	2	0	TPG Internet Pty Ltd.	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	0	Victoria	U
1116570576559752-1364888282172	OTHER	HOME	0	0	0	Safari	Mac	1	18	695	7	0	Telstra Internet	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	NETWORK	OTHER	OTHER	OTHER	OTHER	0	undefined	U
1116597629152238-1364910370498	Google	HOME	0	0	0	Chrome	Windows	2	0	538	12	0	Optus Internet Pty Ltd	OTHER	OTHER	SMARTPHONE	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	BROADBAND	BUNDLE	OTHER	OTHER	0	undefined	U
1116703914012759-1365213074302	OTHER	OTHER	0	0	0	Safari	Mac	5	12	141	6	1	iiNet Limited	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	0	Victoria	U
1116794142281066-1365110716201	OTHER	HOME	0	0	0	MSIE	Windows	4	8	1783	16	1	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	0	Victoria	U
1116985735918469-1364859268790	OTHER	HOME	0	0	0	MSIE	Windows	1	10	26	2	0	TPG Internet Pty Ltd.	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	0	Victoria	U
1117293306160718-1365030101062	OTHER	HOME	0	0	0	Chrome	Windows	3	10	8	2	0	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	0	South Australia	U
1117783091611123-1365203628644	OTHER	HOME	0	0	0	MSIE	Windows	5	10	307	3	0	Optus	OTHER	OTHER	SMARTPHONE	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	0	New South Wales	U
1117933625355362-1365333339397	OTHER	HOME	0	0	0	Chrome	Windows	6	22	3893	21	1	TPG Internet Pty Ltd.	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	NETWORK	OTHER	OTHER	OTHER	OTHER	0	New South Wales	U
1118085233028978-1364964255880	Google	PRODUCT	1	1	0	Safari	Mac	2	15	74	2	0	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	PREPAID	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	0	Queensland	M
1118159813340753-1365062155559	OTHER	HOME	0	0	0	Chrome	Windows	3	18	293	18	1	Telstra Internet	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	0	undefined	U
1118275658726846-1365057578222	OTHER	HOME	0	0	0	Firefox	Windows	3	17	254	4	1	Optus	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	0	Victoria	U
1118407291568913-1365237376071	Google	PRODUCT	1	0	0	Firefox	Windows	5	19	12	2	0	Telstra Internet	OTHER	OTHER	OTHER	OTHER	OTHER	PREPAID	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	0	Queensland	D
1118506207183860-1364882076361	OTHER	HOME	0	0	0	Firefox	Windows	1	16	39	3	1	Optus	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	0	Queensland	U
1119120945222675-1365378722150	OTHER	OTHER	0	1	0	Chrome	Windows	0	10	20497	3	0	Optus	OTHER	OTHER	SMARTPHONE	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	0	New South Wales	D
1119325046626039-1364770690910	Google	PRODUCT	1	1	0	Firefox	Windows	0	9	4389	21	0	Optus	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	NETWORK	BROADBAND	OTHER	OTHER	OTHER	0	Victoria	D
111968841054506-1365036922265	OTHER	HOME	0	0	0	MSIE	Windows	3	11	23	2	0	SingTel Optus Pty Ltd	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	0	Victoria	D
1120383415404441-1365073365285	Google	HOME	1	1	0	MSIE	Windows	3	22	1327	9	0	Telstra Internet	OTHER	OTHER	SMARTPHONE	OTHER	OTHER	PREPAID	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	0	South Australia	U
1121447421610355-1364969171523	OTHER	OTHER	0	0	0	Safari	Mac	2	17	117	5	1	Telstra Internet	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	0	undefined	M
1121836104430258-1365340590215	Google	HOME	1	1	0	Chrome	Windows	0	0	630	6	1	Optus	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	0	New South Wales	U
1122334417887032-1365317086235	OTHER	HOME	0	0	0	Chrome	Windows	6	17	330348	4	0	Exetel	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	SIMCARD	NETWORK	OTHER	OTHER	OTHER	OTHER	0	New South Wales	U
1122434893622994-1365064145833	OTHER	HOME	0	0	0	Chrome	Windows	3	19	28	2	1	Telstra Internet	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	0	undefined	U
1122515808231140-1364882623007	OTHER	PRODUCT	0	0	0	MSIE	Windows	1	17	67	2	0	Telstra Internet	OTHER	OTHER	SMARTPHONE	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	0	New South Wales	D
1123130947817117-1364857310195	Google	OTHER	0	0	0	Chrome	Windows	1	10	990	3	1	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	BROADBAND	OTHER	OTHER	OTHER	0	Victoria	D
1123306860681623-1364898955863	OTHER	HOME	0	0	0	Chrome	Windows	1	21	10	2	0	Telstra Internet	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	BUNDLE	OTHER	OTHER	0	Victoria	U
